City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
355,Mersing,MY,75.2,broken clouds,2.4312,103.8405,Timotel Hotel
358,Bubaque,GW,75.67,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
359,Axim,GH,79.07,clear sky,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
360,Santa Cruz,BO,77.0,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
361,Mathbaria,BD,74.19,clear sky,22.2876,89.9593,Shikdar Hotel
364,Diplo,PK,73.6,few clouds,24.4667,69.584,Mukhi Ahmed Ali Residency
365,Ayorou,NE,77.32,clear sky,14.7308,0.9174,Hotel Amenokal
366,Si Sa Ket,TH,79.0,scattered clouds,14.8333,104.3333,ร้านค้า อัญชัน
368,Maiduguri,NG,78.62,clear sky,11.8464,13.1603,Beach Guest Home
372,Lima,PE,73.4,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
374,Banyo,CM,70.57,scattered clouds,6.75,11.8167,Motel JOMBA
384,Tanete,ID,74.43,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
389,La Libertad,EC,78.8,clear sky,-2.2333,-80.9,Playa Canela Hotel Boutique
390,Morondava,MG,75.29,clear sky,-20.2833,44.2833,La Case Bambou
392,Raton,US,66.2,clear sky,36.9034,-104.4391,Holiday Inn Express & Suites Raton
396,Naze,JP,66.2,broken clouds,28.3667,129.4833,奄美ポートタワーホテル
398,Acari,PE,74.14,few clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
402,Richards Bay,ZA,66.99,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
403,Chimore,BO,70.93,overcast clouds,-16.9833,-65.1333,Bichito
405,Carlos Chagas,BR,77.02,clear sky,-17.7031,-40.7664,Minas Hotel
408,Galle,LK,75.47,broken clouds,6.0367,80.217,Amangalla
410,Ciudad Valles,MX,71.15,overcast clouds,21.9833,-99.0167,Hotel Mision Ciudad Valles
411,Srandakan,ID,77.27,broken clouds,-7.9386,110.2506,Puri Brata
413,Mecca,SA,73.24,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
417,Olavarria,AR,66.99,broken clouds,-36.8927,-60.3225,Hotel Santa Rosa
420,Merauke,ID,77.68,light rain,-8.4667,140.3333,PC
422,Kismayo,SO,79.9,overcast clouds,-0.3582,42.5454,Agan-Hotel
423,Kitui,KE,68.25,overcast clouds,-1.367,38.0106,Heritage Bliss Hotel
426,Chak Azam Sahu,PK,75.07,clear sky,30.75,73.0333,Kot Ghazi khan
427,Lamesa,US,70.0,clear sky,32.7376,-101.95100000000001,Shiloh Inn Lamesa
428,Iquitos,PE,77.0,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
430,Matara,LK,74.68,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
431,Maymyo,MM,72.01,overcast clouds,22.0333,96.4667,Tiger Hotel
440,Mount Isa,AU,77.0,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
441,Santiago,CL,77.0,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
442,Meulaboh,ID,76.3,overcast clouds,4.1363,96.1285,Kost Pria
455,Hosdurga,IN,75.04,overcast clouds,13.7981,76.2861,Manasa tailor
460,Cap Malheureux,MU,77.0,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
461,Kawalu,ID,71.8,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
462,Sao Gabriel Da Cachoeira,BR,74.3,moderate rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
468,Lakhimpur,IN,73.0,clear sky,27.95,80.7667,Hotel Sarna
470,El Alto,PE,71.44,broken clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
476,Morro Bay,US,75.99,clear sky,35.3658,-120.8499,Inn at Morro Bay
488,Bathsheba,BB,77.0,scattered clouds,13.2167,-59.5167,Atlantis Hotel
494,Puerto Narino,CO,78.8,moderate rain,-3.7703,-70.3831,Eware Refugio Amazonico
496,Totness,SR,77.25,heavy intensity rain,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
497,Tuy Hoa,VN,71.94,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
506,Santa Rosalia,MX,76.71,broken clouds,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
509,Russell,US,66.2,overcast clouds,32.3502,-85.1999,Macs
510,Capinopolis,BR,77.49,few clouds,-18.6819,-49.5697,casa do leo
513,Camden,US,71.6,scattered clouds,39.7835,-74.9663,Days Inn by Wyndham Berlin Voorhees
516,Midland,US,73.0,clear sky,31.9974,-102.0779,DoubleTree by Hilton Hotel Midland Plaza
518,Batticaloa,LK,77.81,overcast clouds,7.7102,81.6924,Grand Star Guest House
524,Tezu,IN,68.54,clear sky,27.9167,96.1667,Circuit House
526,Emerald,AU,77.0,few clouds,-23.5333,148.1667,The Irish Village
533,Santa Isabel,BR,73.4,moderate rain,-23.3156,-46.2214,Chácara Sombra do Altíssimo
537,Iranshahr,IR,74.03,broken clouds,27.2025,60.6848,پلکه بزرگ
539,Arona,ES,66.0,few clouds,28.0996,-16.680999999999997,Paradise Court
547,Sao Filipe,CV,69.96,broken clouds,14.8961,-24.4956,Tortuga B&B
548,Canutama,BR,73.69,heavy intensity rain,-6.5339,-64.3831,Hotel Jhennifer
549,Palora,EC,69.8,moderate rain,-1.7,-77.9333,Rancho grande
550,Sao Jose Da Coroa Grande,BR,78.89,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
558,Mae Hong Son,TH,69.48,few clouds,19.3003,97.9685,Baiyoke Chalet Hotel
566,Byron Bay,AU,72.0,clear sky,-28.65,153.6167,Backpackers Inn on the Beach
567,Foz Do Iguacu,BR,75.2,broken clouds,-25.5478,-54.5881,Hotel Dan Inn Foz do Iguaçu
568,Arraial Do Cabo,BR,78.01,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
585,Lianyuan,CN,67.87,light rain,27.6883,111.6642,Lianyuan Hotel
588,Port Macquarie,AU,73.0,few clouds,-31.4333,152.9167,Rydges Port Macquarie
590,Nabire,ID,75.47,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
596,Nishihara,JP,71.6,mist,26.1842,127.7558,Minshuku Agaihama
599,Ukiah,US,78.8,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
606,Tanhacu,BR,76.57,clear sky,-14.0214,-41.2481,Hotel Aguas D Lindoia
610,Jaciara,BR,76.3,clear sky,-15.9653,-54.9683,Taba Hotel
615,General Roca,AR,77.0,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
616,Catuday,PH,79.34,broken clouds,16.2923,119.8062,GResort
623,Charters Towers,AU,77.23,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
624,Ndjole,GA,74.46,moderate rain,-0.1783,10.7649,Hotel Kevazingo
625,Manado,ID,77.0,scattered clouds,1.4869999999999999,124.8455,Aryaduta Hotel
634,Belmonte,BR,78.8,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
635,Nanchong,CN,66.27,light rain,30.7951,106.0847,Marine Una Century Hotel
639,Kudahuvadhoo,MV,79.25,moderate rain,2.6708,72.8944,Niyama Private Islands Maldives
640,Kharsia,IN,73.54,clear sky,21.9667,83.1167,College Hostel
641,Ngaoundere,CM,71.67,scattered clouds,7.3167,13.5833,Hotel Mentong Palace
648,Basco,PH,78.57,few clouds,20.4487,121.9702,Nathaniel's Lodge
649,Beaufort,MY,75.2,scattered clouds,5.3473,115.7455,The Gem Hotel Beaufort
653,Coari,BR,75.2,broken clouds,-4.085,-63.1414,HOTEL ALEX FLAT
656,Cedar City,US,68.0,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
661,Veraval,IN,76.89,clear sky,20.9,70.3667,Lords Inn Somnath
665,Geraldton,AU,66.2,few clouds,-28.7667,114.6,Broadwater Mariner Resort
666,San Cristobal,VE,78.8,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
