City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
59,Severo-Kurilsk,RU,50.6789,156.125,29.64,70,6,7.9,clear sky,2021-03-28 22:48:56
60,Fortuna,US,40.5982,-124.1573,55.0,87,1,13.8,clear sky,2021-03-28 22:48:56
61,Cabo San Lucas,MX,22.8909,-109.9124,77.0,27,40,11.5,scattered clouds,2021-03-28 22:48:57
62,Barrow,US,71.2906,-156.7887,-16.6,69,20,12.66,haze,2021-03-28 22:45:01
63,Birao,CF,10.2849,22.7882,80.35,12,1,12.03,clear sky,2021-03-28 22:48:57
64,Vaini,TO,-21.2,-175.2,84.2,79,40,10.36,scattered clouds,2021-03-28 22:48:57
65,Cherskiy,RU,68.75,161.3,-1.98,85,99,3.2,overcast clouds,2021-03-28 22:48:57
66,Torbay,CA,47.6666,-52.7314,26.01,74,75,4.61,broken clouds,2021-03-28 22:48:58
67,Airai,TL,-8.9266,125.4092,60.82,97,100,2.93,heavy intensity rain,2021-03-28 22:48:58
68,Prince Rupert,CA,54.3161,-130.3201,42.8,56,75,14.97,broken clouds,2021-03-28 22:48:58
69,Andros Town,BS,24.7,-77.7667,80.6,61,40,11.5,scattered clouds,2021-03-28 22:48:58
70,Lebu,CL,-37.6167,-73.65,56.91,91,0,11.65,clear sky,2021-03-28 22:48:58
71,Port Alfred,ZA,-33.5906,26.891,65.37,78,100,19.57,overcast clouds,2021-03-28 22:48:59
72,Port Lincoln,AU,-34.7333,135.8667,64.6,74,2,9.19,clear sky,2021-03-28 22:48:59
73,Atuona,PF,-9.8,-139.0333,80.91,74,98,17.13,overcast clouds,2021-03-28 22:48:59
74,Shellbrook,CA,53.2168,-106.4011,46.4,66,75,5.75,broken clouds,2021-03-28 22:48:59
75,Mar Del Plata,AR,-38.0023,-57.5575,66.2,82,20,10.36,few clouds,2021-03-28 22:49:00
76,Saint-Philippe,RE,-21.3585,55.7679,77.0,78,0,8.05,clear sky,2021-03-28 22:49:00
77,Atar,MR,20.5169,-13.0499,77.97,24,84,7.7,broken clouds,2021-03-28 22:49:00
78,Siniscola,IT,40.5719,9.6922,46.4,93,0,3.06,clear sky,2021-03-28 22:49:00
79,Hanumangarh,IN,29.5833,74.3167,78.06,14,20,8.03,few clouds,2021-03-28 22:49:01
80,Zarichne,UA,51.8126,26.129,35.46,88,89,6.51,overcast clouds,2021-03-28 22:49:01
81,Akureyri,IS,65.6835,-18.0878,32.0,64,90,16.11,light snow,2021-03-28 22:49:01
82,Lagoa,PT,39.05,-27.9833,59.56,81,100,16.31,overcast clouds,2021-03-28 22:49:01
83,Coahuayana,MX,18.7333,-103.6833,82.4,47,75,13.8,broken clouds,2021-03-28 22:49:01
84,Luderitz,NA,-26.6481,15.1594,61.84,83,0,3.67,clear sky,2021-03-28 22:49:02
85,Korla,CN,41.7597,86.1469,55.65,41,100,7.25,overcast clouds,2021-03-28 22:49:02
86,Rikitea,PF,-23.1203,-134.9692,79.2,73,3,15.55,clear sky,2021-03-28 22:49:02
87,Ostrovnoy,RU,68.0531,39.5131,35.51,97,100,11.41,overcast clouds,2021-03-28 22:49:02
88,Imbituba,BR,-28.24,-48.6703,78.8,89,75,2.3,broken clouds,2021-03-28 22:49:03
89,Polunochnoye,RU,60.8697,60.4153,21.97,96,100,2.33,overcast clouds,2021-03-28 22:49:03
90,Malmesbury,ZA,-33.4608,18.7271,68.0,75,100,5.21,overcast clouds,2021-03-28 22:49:03
91,Tynda,RU,55.1667,124.7167,27.81,96,100,3.65,light snow,2021-03-28 22:49:03
92,Caravelas,BR,-17.7125,-39.2481,78.04,75,0,7.4,clear sky,2021-03-28 22:49:34
93,Rocha,UY,-34.4833,-54.3333,62.22,95,74,5.28,broken clouds,2021-03-28 22:49:34
94,Port Blair,IN,11.6667,92.75,80.15,76,60,1.74,broken clouds,2021-03-28 22:48:17
95,Oriximina,BR,-1.7656,-55.8661,75.81,92,27,2.77,scattered clouds,2021-03-28 22:49:34
96,Rendsburg,DE,54.3,9.6667,48.2,87,75,14.97,broken clouds,2021-03-28 22:49:34
97,Chapais,CA,49.7834,-74.8492,30.2,93,90,8.05,snow,2021-03-28 22:49:35
98,Khatanga,RU,71.9667,102.5,-3.96,98,100,6.87,overcast clouds,2021-03-28 22:49:35
99,Malampaka,TZ,-3.1333,33.5333,64.33,83,55,3.89,light rain,2021-03-28 22:49:35
100,Saint-Pierre,RE,-21.3393,55.4781,77.0,78,0,8.05,clear sky,2021-03-28 22:49:35
101,Miandoab,IR,36.9694,46.1027,37.27,58,0,2.01,clear sky,2021-03-28 22:47:10
102,Klaksvik,FO,62.2266,-6.589,41.0,93,40,13.8,scattered clouds,2021-03-28 22:49:36
103,Esperance,AU,-33.8667,121.9,66.2,72,0,12.66,clear sky,2021-03-28 22:49:36
104,Buriti Bravo,BR,-5.8372,-43.8336,71.96,95,54,3.96,broken clouds,2021-03-28 22:49:36
105,Mareeba,AU,-17.0,145.4333,82.0,74,89,4.0,overcast clouds,2021-03-28 22:49:36
106,Dumai,ID,1.6833,101.45,74.21,98,82,2.82,moderate rain,2021-03-28 22:49:16
107,Ribeira Grande,PT,38.5167,-28.7,60.42,83,100,21.79,overcast clouds,2021-03-28 22:49:37
108,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,26.6,39,79,6.71,broken clouds,2021-03-28 22:49:37
109,Pevek,RU,69.7008,170.3133,-13.18,96,70,3.22,broken clouds,2021-03-28 22:49:37
